"","month","BORO","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","01","BRONX",35,21,22,21,28,18,31,22,22,22,15,19,26,16
"2","02","BRONX",15,15,17,25,23,19,19,14,13,14,11,14,12,10
"3","03","BRONX",23,17,27,21,31,20,29,17,22,19,18,12,12,12
"4","04","BRONX",31,21,35,36,25,32,31,22,30,27,23,23,11,15
"5","05","BRONX",36,41,36,34,32,35,32,23,31,37,23,21,22,17
"6","06","BRONX",31,42,48,49,44,46,45,33,41,34,27,20,17,26
"7","07","BRONX",36,41,42,46,45,49,70,32,37,38,20,33,17,29
"8","08","BRONX",41,48,56,52,47,52,34,36,42,26,39,26,24,24
"9","09","BRONX",49,36,34,25,39,50,31,27,24,30,19,25,20,19
"10","10","BRONX",38,42,24,29,31,44,34,27,23,22,27,15,31,17
"11","11","BRONX",28,25,31,37,32,35,25,32,26,24,12,10,15,20
"12","12","BRONX",35,24,33,29,32,31,21,17,35,27,13,13,20,12
