month,year,BORO,num_shootings
1,2006,BRONX,35
1,2006,BROOKLYN,42
1,2006,MANHATTAN,13
1,2006,QUEENS,17
1,2006,STATEN ISLAND,5
1,2007,BRONX,21
1,2007,BROOKLYN,46
1,2007,MANHATTAN,8
1,2007,QUEENS,13
1,2007,STATEN ISLAND,2
1,2008,BRONX,22
1,2008,BROOKLYN,40
1,2008,MANHATTAN,13
1,2008,QUEENS,19
1,2008,STATEN ISLAND,5
1,2009,BRONX,21
1,2009,BROOKLYN,36
1,2009,MANHATTAN,11
1,2009,QUEENS,9
1,2009,STATEN ISLAND,2
1,2010,BRONX,28
1,2010,BROOKLYN,35
1,2010,MANHATTAN,12
1,2010,QUEENS,8
1,2010,STATEN ISLAND,3
1,2011,BRONX,18
1,2011,BROOKLYN,35
1,2011,MANHATTAN,17
1,2011,QUEENS,11
1,2011,STATEN ISLAND,2
1,2012,BRONX,31
1,2012,BROOKLYN,34
1,2012,MANHATTAN,9
1,2012,QUEENS,16
1,2012,STATEN ISLAND,1
1,2013,BRONX,22
1,2013,BROOKLYN,37
1,2013,MANHATTAN,14
1,2013,QUEENS,16
1,2013,STATEN ISLAND,4
1,2014,BRONX,22
1,2014,BROOKLYN,38
1,2014,MANHATTAN,6
1,2014,QUEENS,8
1,2014,STATEN ISLAND,3
1,2015,BRONX,22
1,2015,BROOKLYN,37
1,2015,MANHATTAN,9
1,2015,QUEENS,18
1,2015,STATEN ISLAND,4
1,2016,BRONX,15
1,2016,BROOKLYN,21
1,2016,MANHATTAN,9
1,2016,QUEENS,11
1,2016,STATEN ISLAND,3
1,2017,BRONX,19
1,2017,BROOKLYN,21
1,2017,MANHATTAN,9
1,2017,QUEENS,5
1,2017,STATEN ISLAND,4
1,2018,BRONX,26
1,2018,BROOKLYN,13
1,2018,MANHATTAN,7
1,2018,QUEENS,12
1,2018,STATEN ISLAND,1
1,2019,BRONX,16
1,2019,BROOKLYN,19
1,2019,MANHATTAN,7
1,2019,QUEENS,8
1,2019,STATEN ISLAND,2
2,2006,BRONX,15
2,2006,BROOKLYN,31
2,2006,MANHATTAN,14
2,2006,QUEENS,19
2,2006,STATEN ISLAND,2
2,2007,BRONX,15
2,2007,BROOKLYN,35
2,2007,MANHATTAN,5
2,2007,QUEENS,5
2,2007,STATEN ISLAND,2
2,2008,BRONX,17
2,2008,BROOKLYN,27
2,2008,MANHATTAN,8
2,2008,QUEENS,11
2,2008,STATEN ISLAND,1
2,2009,BRONX,25
2,2009,BROOKLYN,26
2,2009,MANHATTAN,7
2,2009,QUEENS,14
2,2009,STATEN ISLAND,3
2,2010,BRONX,23
2,2010,BROOKLYN,27
2,2010,MANHATTAN,11
2,2010,QUEENS,21
2,2010,STATEN ISLAND,1
2,2011,BRONX,19
2,2011,BROOKLYN,34
2,2011,MANHATTAN,10
2,2011,QUEENS,13
2,2011,STATEN ISLAND,1
2,2012,BRONX,19
2,2012,BROOKLYN,34
2,2012,MANHATTAN,8
2,2012,QUEENS,20
2,2012,STATEN ISLAND,2
2,2013,BRONX,14
2,2013,BROOKLYN,26
2,2013,MANHATTAN,3
2,2013,QUEENS,7
2,2014,BRONX,13
2,2014,BROOKLYN,19
2,2014,MANHATTAN,5
2,2014,QUEENS,7
2,2014,STATEN ISLAND,1
2,2015,BRONX,14
2,2015,BROOKLYN,23
2,2015,MANHATTAN,9
2,2015,QUEENS,8
2,2015,STATEN ISLAND,5
2,2016,BRONX,11
2,2016,BROOKLYN,30
2,2016,MANHATTAN,8
2,2016,QUEENS,9
2,2016,STATEN ISLAND,3
2,2017,BRONX,14
2,2017,BROOKLYN,14
2,2017,MANHATTAN,3
2,2017,QUEENS,6
2,2017,STATEN ISLAND,3
2,2018,BRONX,12
2,2018,BROOKLYN,13
2,2018,MANHATTAN,4
2,2018,QUEENS,6
2,2018,STATEN ISLAND,1
2,2019,BRONX,10
2,2019,BROOKLYN,13
2,2019,MANHATTAN,9
2,2019,QUEENS,10
3,2006,BRONX,23
3,2006,BROOKLYN,35
3,2006,MANHATTAN,10
3,2006,QUEENS,8
3,2006,STATEN ISLAND,3
3,2007,BRONX,17
3,2007,BROOKLYN,34
3,2007,MANHATTAN,12
3,2007,QUEENS,9
3,2008,BRONX,27
3,2008,BROOKLYN,43
3,2008,MANHATTAN,5
3,2008,QUEENS,24
3,2008,STATEN ISLAND,1
3,2009,BRONX,21
3,2009,BROOKLYN,47
3,2009,MANHATTAN,6
3,2009,QUEENS,10
3,2009,STATEN ISLAND,2
3,2010,BRONX,31
3,2010,BROOKLYN,39
3,2010,MANHATTAN,15
3,2010,QUEENS,17
3,2010,STATEN ISLAND,4
3,2011,BRONX,20
3,2011,BROOKLYN,36
3,2011,MANHATTAN,3
3,2011,QUEENS,16
3,2011,STATEN ISLAND,2
3,2012,BRONX,29
3,2012,BROOKLYN,44
3,2012,MANHATTAN,14
3,2012,QUEENS,15
3,2012,STATEN ISLAND,2
3,2013,BRONX,17
3,2013,BROOKLYN,31
3,2013,MANHATTAN,6
3,2013,QUEENS,12
3,2013,STATEN ISLAND,1
3,2014,BRONX,22
3,2014,BROOKLYN,40
3,2014,MANHATTAN,5
3,2014,QUEENS,13
3,2014,STATEN ISLAND,2
3,2015,BRONX,19
3,2015,BROOKLYN,21
3,2015,MANHATTAN,11
3,2015,QUEENS,15
3,2015,STATEN ISLAND,3
3,2016,BRONX,18
3,2016,BROOKLYN,21
3,2016,MANHATTAN,10
3,2016,QUEENS,15
3,2016,STATEN ISLAND,3
3,2017,BRONX,12
3,2017,BROOKLYN,20
3,2017,MANHATTAN,7
3,2017,QUEENS,7
3,2017,STATEN ISLAND,2
3,2018,BRONX,12
3,2018,BROOKLYN,22
3,2018,MANHATTAN,2
3,2018,QUEENS,9
3,2018,STATEN ISLAND,1
3,2019,BRONX,12
3,2019,BROOKLYN,26
3,2019,MANHATTAN,7
3,2019,QUEENS,10
3,2019,STATEN ISLAND,1
4,2006,BRONX,31
4,2006,BROOKLYN,41
4,2006,MANHATTAN,16
4,2006,QUEENS,21
4,2006,STATEN ISLAND,4
4,2007,BRONX,21
4,2007,BROOKLYN,41
4,2007,MANHATTAN,15
4,2007,QUEENS,20
4,2007,STATEN ISLAND,2
4,2008,BRONX,35
4,2008,BROOKLYN,48
4,2008,MANHATTAN,15
4,2008,QUEENS,18
4,2008,STATEN ISLAND,5
4,2009,BRONX,36
4,2009,BROOKLYN,47
4,2009,MANHATTAN,12
4,2009,QUEENS,19
4,2009,STATEN ISLAND,1
4,2010,BRONX,25
4,2010,BROOKLYN,57
4,2010,MANHATTAN,21
4,2010,QUEENS,15
4,2010,STATEN ISLAND,2
4,2011,BRONX,32
4,2011,BROOKLYN,62
4,2011,MANHATTAN,7
4,2011,QUEENS,6
4,2011,STATEN ISLAND,2
4,2012,BRONX,31
4,2012,BROOKLYN,39
4,2012,MANHATTAN,6
4,2012,QUEENS,21
4,2012,STATEN ISLAND,1
4,2013,BRONX,22
4,2013,BROOKLYN,40
4,2013,MANHATTAN,5
4,2013,QUEENS,8
4,2013,STATEN ISLAND,4
4,2014,BRONX,30
4,2014,BROOKLYN,33
4,2014,MANHATTAN,10
4,2014,QUEENS,10
4,2014,STATEN ISLAND,4
4,2015,BRONX,27
4,2015,BROOKLYN,39
4,2015,MANHATTAN,8
4,2015,QUEENS,11
4,2015,STATEN ISLAND,2
4,2016,BRONX,23
4,2016,BROOKLYN,19
4,2016,MANHATTAN,12
4,2016,QUEENS,12
4,2016,STATEN ISLAND,1
4,2017,BRONX,23
4,2017,BROOKLYN,21
4,2017,MANHATTAN,9
4,2017,QUEENS,8
4,2017,STATEN ISLAND,7
4,2018,BRONX,11
4,2018,BROOKLYN,26
4,2018,MANHATTAN,7
4,2018,QUEENS,4
4,2018,STATEN ISLAND,1
4,2019,BRONX,15
4,2019,BROOKLYN,19
4,2019,MANHATTAN,11
4,2019,QUEENS,15
4,2019,STATEN ISLAND,2
5,2006,BRONX,36
5,2006,BROOKLYN,60
5,2006,MANHATTAN,20
5,2006,QUEENS,16
5,2006,STATEN ISLAND,2
5,2007,BRONX,41
5,2007,BROOKLYN,78
5,2007,MANHATTAN,21
5,2007,QUEENS,19
5,2007,STATEN ISLAND,3
5,2008,BRONX,36
5,2008,BROOKLYN,63
5,2008,MANHATTAN,20
5,2008,QUEENS,27
5,2008,STATEN ISLAND,5
5,2009,BRONX,34
5,2009,BROOKLYN,61
5,2009,MANHATTAN,9
5,2009,QUEENS,20
5,2009,STATEN ISLAND,5
5,2010,BRONX,32
5,2010,BROOKLYN,49
5,2010,MANHATTAN,20
5,2010,QUEENS,18
5,2010,STATEN ISLAND,2
5,2011,BRONX,35
5,2011,BROOKLYN,65
5,2011,MANHATTAN,9
5,2011,QUEENS,19
5,2011,STATEN ISLAND,3
5,2012,BRONX,32
5,2012,BROOKLYN,57
5,2012,MANHATTAN,19
5,2012,QUEENS,24
5,2012,STATEN ISLAND,8
5,2013,BRONX,23
5,2013,BROOKLYN,30
5,2013,MANHATTAN,7
5,2013,QUEENS,13
5,2013,STATEN ISLAND,5
5,2014,BRONX,31
5,2014,BROOKLYN,54
5,2014,MANHATTAN,8
5,2014,QUEENS,17
5,2014,STATEN ISLAND,2
5,2015,BRONX,37
5,2015,BROOKLYN,60
5,2015,MANHATTAN,16
5,2015,QUEENS,13
5,2015,STATEN ISLAND,6
5,2016,BRONX,23
5,2016,BROOKLYN,32
5,2016,MANHATTAN,10
5,2016,QUEENS,17
