"","month","BORO","num_shootings"
"1","01","BRONX",318
"2","01","BROOKLYN",454
"3","01","MANHATTAN",144
"4","01","QUEENS",171
"5","01","STATEN ISLAND",41
"6","02","BRONX",221
"7","02","BROOKLYN",352
"8","02","MANHATTAN",104
"9","02","QUEENS",156
"10","02","STATEN ISLAND",25
"11","03","BRONX",280
"12","03","BROOKLYN",459
"13","03","MANHATTAN",113
"14","03","QUEENS",180
"15","03","STATEN ISLAND",27
"16","04","BRONX",362
"17","04","BROOKLYN",532
"18","04","MANHATTAN",154
"19","04","QUEENS",188
"20","04","STATEN ISLAND",38
"21","05","BRONX",420
"22","05","BROOKLYN",691
"23","05","MANHATTAN",190
"24","05","QUEENS",229
"25","05","STATEN ISLAND",51
"26","06","BRONX",503
"27","06","BROOKLYN",709
"28","06","MANHATTAN",207
"29","06","QUEENS",259
"30","06","STATEN ISLAND",37
"31","07","BRONX",535
"32","07","BROOKLYN",833
"33","07","MANHATTAN",223
"34","07","QUEENS",273
"35","07","STATEN ISLAND",59
"36","08","BRONX",547
"37","08","BROOKLYN",824
"38","08","MANHATTAN",234
"39","08","QUEENS",277
"40","08","STATEN ISLAND",58
"41","09","BRONX",428
"42","09","BROOKLYN",721
"43","09","MANHATTAN",192
"44","09","QUEENS",228
"45","09","STATEN ISLAND",44
"46","10","BRONX",404
"47","10","BROOKLYN",588
"48","10","MANHATTAN",178
"49","10","QUEENS",229
"50","10","STATEN ISLAND",41
"51","11","BRONX",352
"52","11","BROOKLYN",500
"53","11","MANHATTAN",157
"54","11","QUEENS",168
"55","11","STATEN ISLAND",41
"56","12","BRONX",342
"57","12","BROOKLYN",523
"58","12","MANHATTAN",167
"59","12","QUEENS",199
"60","12","STATEN ISLAND",51
