"","month","BORO","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","01","MANHATTAN",13,8,13,11,12,17,9,14,6,9,9,9,7,7
"2","02","MANHATTAN",14,5,8,7,11,10,8,3,5,9,8,3,4,9
"3","03","MANHATTAN",10,12,5,6,15,3,14,6,5,11,10,7,2,7
"4","04","MANHATTAN",16,15,15,12,21,7,6,5,10,8,12,9,7,11
"5","05","MANHATTAN",20,21,20,9,20,9,19,7,8,16,10,7,10,14
"6","06","MANHATTAN",22,21,25,11,17,18,15,7,15,16,10,10,9,11
"7","07","MANHATTAN",23,19,18,17,20,18,24,17,10,13,9,9,11,15
"8","08","MANHATTAN",23,24,20,22,23,26,15,13,16,5,18,8,9,12
"9","09","MANHATTAN",24,12,22,11,14,17,13,11,8,17,17,9,6,11
"10","10","MANHATTAN",25,16,17,13,14,19,8,9,4,12,17,7,6,11
"11","11","MANHATTAN",17,12,13,13,12,14,6,13,13,8,13,9,8,6
"12","12","MANHATTAN",13,12,11,14,19,18,14,10,7,13,9,14,7,6
