"","month","BORO","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","01","QUEENS",17,13,19,9,8,11,16,16,8,18,11,5,12,8
"2","02","QUEENS",19,5,11,14,21,13,20,7,7,8,9,6,6,10
"3","03","QUEENS",8,9,24,10,17,16,15,12,13,15,15,7,9,10
"4","04","QUEENS",21,20,18,19,15,6,21,8,10,11,12,8,4,15
"5","05","QUEENS",16,19,27,20,18,19,24,13,17,13,17,11,10,5
"6","06","QUEENS",20,27,26,26,20,23,24,21,12,16,11,11,13,9
"7","07","QUEENS",30,20,22,16,18,31,26,18,26,7,18,10,17,14
"8","08","QUEENS",29,20,19,18,20,17,22,26,19,29,14,13,11,20
"9","09","QUEENS",17,15,28,25,14,23,24,14,14,7,18,10,10,9
"10","10","QUEENS",28,21,23,23,14,23,10,11,14,13,14,18,5,12
"11","11","QUEENS",18,15,14,20,17,10,16,6,8,10,9,14,6,5
"12","12","QUEENS",17,11,21,17,18,22,18,10,13,19,9,9,7,8
