"","month","BORO","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","01","STATEN ISLAND",5,2,5,2,3,2,1,4,3,4,3,4,1,2
"2","02","STATEN ISLAND",2,2,1,3,1,1,2,NA,1,5,3,3,1,NA
"3","03","STATEN ISLAND",3,NA,1,2,4,2,2,1,2,3,3,2,1,1
"4","04","STATEN ISLAND",4,2,5,1,2,2,1,4,4,2,1,7,1,2
"5","05","STATEN ISLAND",2,3,5,5,2,3,8,5,2,6,4,3,2,1
"6","06","STATEN ISLAND",1,2,2,3,3,2,2,5,3,4,2,3,2,3
"7","07","STATEN ISLAND",5,5,5,9,3,2,9,5,5,3,4,2,1,1
"8","08","STATEN ISLAND",6,7,7,4,1,6,1,2,4,2,6,5,4,3
"9","09","STATEN ISLAND",1,4,6,NA,5,4,5,1,4,4,4,2,1,3
"10","10","STATEN ISLAND",2,3,6,1,NA,4,4,3,6,4,1,3,3,1
"11","11","STATEN ISLAND",3,3,3,8,1,4,4,6,1,2,2,2,NA,2
"12","12","STATEN ISLAND",1,6,4,3,2,4,2,7,3,3,3,5,3,5
